product_name,category,description,base_price,material,care_instructions,size,color,stock_quantity,sku
"Arrogance Tee",Apparel,"Arrogance Tee - Available in multiple sizes and colors. Premium quality fashion item.",29.99,100% Cotton,Machine wash cold, tumble dry low,3X,Unnamed: 1,1,ARR-3X-UNN
"Arrogance Tee",Apparel,"Arrogance Tee - Available in multiple sizes and colors. Premium quality fashion item.",29.99,100% Cotton,Machine wash cold, tumble dry low,4X,Unnamed: 1,3,ARR-4X-UNN
"Arrogance Tee",Apparel,"Arrogance Tee - Available in multiple sizes and colors. Premium quality fashion item.",29.99,100% Cotton,Machine wash cold, tumble dry low,5X,Unnamed: 1,2,ARR-5X-UNN
"Arrogance Tee",Apparel,"Arrogance Tee - Available in multiple sizes and colors. Premium quality fashion item.",29.99,100% Cotton,Machine wash cold, tumble dry low,6X,Unnamed: 1,2,ARR-6X-UNN
"Arrogance Tee",Apparel,"Arrogance Tee - Available in multiple sizes and colors. Premium quality fashion item.",29.99,100% Cotton,Machine wash cold, tumble dry low,L,Unnamed: 1,1,ARR-L-UNN
"Arrogance Tee",Apparel,"Arrogance Tee - Available in multiple sizes and colors. Premium quality fashion item.",29.99,100% Cotton,Machine wash cold, tumble dry low,S,Unnamed: 1,2,ARR-S-UNN
"Arrogance Tee",Apparel,"Arrogance Tee - Available in multiple sizes and colors. Premium quality fashion item.",29.99,100% Cotton,Machine wash cold, tumble dry low,XS,Unnamed: 1,1,ARR-XS-UNN
"Bitches Love me raglan",Apparel,"Bitches Love me raglan - Available in multiple sizes and colors. Premium quality fashion item.",29.99,100% Cotton,Machine wash cold, tumble dry low,L,Unnamed: 1,1,BIT-L-UNN
"Bitches Love me raglan",Apparel,"Bitches Love me raglan - Available in multiple sizes and colors. Premium quality fashion item.",29.99,100% Cotton,Machine wash cold, tumble dry low,XL,Unnamed: 1,1,BIT-XL-UNN
"Bitches Love me raglan",Apparel,"Bitches Love me raglan - Available in multiple sizes and colors. Premium quality fashion item.",29.99,100% Cotton,Machine wash cold, tumble dry low,XS,Unnamed: 1,1,BIT-XS-UNN
